SetDutyCycle,MeasuredDutyCycle,Voltage_V,Current_A,Power_W,Energy_J,Temperature_C,MotorCurrent_A,SamplesCount,Dyno_RPM,Car_RPM,Dyno_Torque_Nm,Dyno_Power_W,DynoSamplesCount
0.0,0.0,28.0800375,-0.0006000000000000001,0.0724125,0.4301,22.62,0.224025,8,0.0,0.0,0.0015,0.0,2
1.0,1.0,28.077325,0.0252,0.6983625,3.4176,22.62,0.3725125,8,0.0,0.0,0.7745,0.0,2
2.0,2.0,28.072675,0.08130000000000001,2.2720125,11.3203,22.62,0.5475,8,0.0,0.0,2.0300000000000002,0.0,2
3.0,3.0,28.066,0.1482,4.1528375,20.5824,22.62,0.6542749999999999,8,0.0,0.0,2.9055,0.0,2
4.0,4.0,28.0531,0.2811,7.8777625,38.784,22.62,0.878175,8,0.0,0.0,4.333,0.0,2
5.0,5.0,28.0375,0.4575,12.819225,63.5827,22.605,1.1254,8,0.0,0.0,5.747999999999999,0.0,2
6.0,6.0,28.0187,0.6378,17.856112500000002,89.0803,22.62,1.3142625000000001,8,0.0,0.0,6.9505,0.0,2
7.0,7.0,27.9941,0.8859,24.7874875,121.9891,22.62,1.5379749999999999,8,0.0,0.0,7.716,0.0,2
8.0,8.0,27.97992857142857,1.0110857142857144,28.28627142857143,130.5446,22.62,1.5153857142857141,7,3.2,3.4,7.9985,2.68,2
9.0,9.0,27.971125,1.0776,30.139675,142.8941,22.62,1.448425,8,7.99,8.5,7.6775,6.415,2
10.0,10.0,27.955837499999998,1.1723999999999999,32.7839875,158.5613,22.66875,1.3979625,8,11.195,11.91,7.4895,8.815,2
11.0,11.0,27.9422125,1.2825,35.9073625,176.3712,22.75,1.389625,8,12.79,13.61,7.443,9.969999999999999,2
12.0,12.0,27.927325,1.44,40.1365625,194.1197,22.75,1.421225,8,15.99,17.01,7.4775,12.525,2
13.0,13.0,27.9128875,1.524,42.7028375,210.0326,22.855,1.351025,8,20.79,22.115000000000002,7.423,16.14,2
14.0,14.0,27.895687499999998,1.6881,46.7754125,229.1866,22.87,1.4029,8,22.39,23.82,7.4295,17.42,2
15.0,15.0,27.88245,1.7934,49.7416125,247.2192,22.98375,1.3877,8,25.59,27.22,7.413,19.86,2
20.0,20.0,27.821125,2.4032999999999998,67.0855875,340.1318,23.0,1.378725,8,41.58,44.23,7.3740000000000006,32.105000000000004,2
25.0,25.0,27.756714285714285,3.0222857142857142,84.22601428571429,407.2397,23.12,1.3844714285714286,7,54.37,57.84,7.3774999999999995,42.0,2
30.0,30.0,27.6882875,3.6498,101.3772,494.1542,23.12,1.4036125,8,68.765,73.15,7.412,53.375,2
35.0,35.0,27.619525,4.2879,118.196225,577.92,23.25,1.4220625,8,84.75999999999999,90.16499999999999,7.446,66.08500000000001,2
40.0,40.0,27.5472875,4.9227,135.489725,665.8176,23.37,1.43665,8,99.15,105.48,7.522,78.10499999999999,2
45.0,45.0,27.485950000000003,5.4003,148.0821625,748.3622,23.5,1.4236499999999999,8,111.94,119.09,7.5785,88.83500000000001,2
50.0,50.0,27.4098,6.081300000000001,166.5386375,832.1818,23.62,1.4576,8,126.405,134.475,7.6485,101.245,2
55.0,55.0,27.3320375,6.7467,184.383475,914.8186,23.75,1.491525,8,140.73,149.71,7.755000000000001,114.28999999999999,2
60.0,60.0,27.25545,7.3287,200.4101375,999.5443,23.87,1.5329625,8,155.12,165.01999999999998,7.8415,127.375,2
65.0,65.0,27.1918125,7.8873,214.5684,1078.8557,24.015,1.5151125,8,169.57333333333332,180.39666666666668,7.937666666666666,140.95666666666668,3
70.0,70.0,27.119200000000003,8.477142857142857,229.87727142857142,1109.6448,24.25,1.5437857142857143,7,184.01,195.75,8.0565,155.24,2
75.0,75.0,27.052671428571426,8.944114285714287,241.9602,1192.1203,24.462857142857143,1.542085714285714,7,196.7,209.25,8.18,168.49,2
80.0,80.0,26.9640625,9.7092,261.774525,1278.5818,24.62,1.5776625,8,209.605,222.985,8.3645,183.60500000000002,2
85.0,85.0,26.882025,10.354800000000001,278.725875,1375.2576,24.87,1.603075,8,222.285,236.47,8.5445,198.905,2
86.0,86.0,26.825,10.7853,289.287725,1392.4531,25.0,1.660075,8,225.9333333333333,240.35333333333332,8.739333333333335,206.76999999999998,3
87.0,87.0,26.7792875,11.0709,296.61726250000004,1439.0323,25.1525,1.6835499999999999,8,227.205,241.71,8.932500000000001,212.53,2
88.0,88.0,26.74885,11.1123,298.011,1490.8723,25.355,1.698225,8,230.405,245.115,9.1085,219.77499999999998,2
89.0,89.0,26.680075,11.7615,312.9123,1541.4144,25.5,1.7459875,8,230.28,244.98,9.337,225.16500000000002,2
90.0,90.0,26.644185714285715,11.891314285714286,318.3617142857143,1505.2339,25.75,1.7585,7,233.48,248.38,9.5455,233.385,2
91.0,91.0,26.59062857142857,12.319542857142858,327.07232857142856,1556.7514,25.87,1.8005285714285715,7,235.61333333333334,250.64666666666668,9.761666666666667,240.85333333333332,3
92.0,92.0,26.5382875,12.7392,336.58277499999997,1603.6378,26.105,1.8303375,8,236.68,251.785,9.9725,247.16500000000002,2
93.0,93.0,26.4957,12.9927,345.2119875,1654.1338,26.25,1.8520750000000001,8,238.28,253.485,10.1715,253.79,2
94.0,94.0,26.443737499999997,13.3341,354.8006375,1704.9446,26.5,1.867175,8,241.34,256.75,10.3835,262.43,2
95.0,95.0,26.3918125,13.7316,362.4171,1755.1027,26.73375,1.9210625000000001,8,243.07,258.59,10.558,268.75,2
96.0,96.0,26.356625,13.9887,369.1506,1808.1869,26.9675,1.9339625,8,244.13666666666666,259.7233333333333,10.704333333333333,273.67,3
97.0,97.0,26.3160125,14.1534,373.0856375,1851.1718,27.12,1.943425,8,246.405,262.135,10.815000000000001,279.065,2
98.0,98.0,26.2671875,14.484,380.953325,1891.9526,27.34,1.9711375,8,248.005,263.835,10.852,281.83500000000004,2
99.0,99.0,26.229914285714283,14.751085714285713,387.3978571428571,1825.705,27.5,1.9762,7,251.07,267.095,10.8495,285.255,2
99.8,99.8,26.22185,14.6562,384.18835,1847.5776,27.62,1.9505875,8,252.67,268.8,10.806999999999999,285.955,2
