SetDutyCycle,MeasuredDutyCycle,Voltage_V,Current_A,Power_W,Energy_J,Temperature_C,MotorCurrent_A,SamplesCount,Dyno_RPM,Car_RPM,Dyno_Torque_Nm,Dyno_Power_W,DynoSamplesCount
0.0,0.0,28.288275000000002,0.0015,0.1429125,0.4531,21.12,0.2242,8,0.0,0.0,0.0,0.0,2
1.0,1.0,28.28595,0.0216,0.6043125,2.9491,21.12,0.3182,8,0.0,0.0,-0.009,0.0,2
2.0,2.0,28.2816875,0.0834,2.392275,10.6906,21.12,0.534,8,0.0,0.0,2.0164999999999997,0.0,2
3.0,3.0,28.273062499999998,0.1671,4.7739875,23.1091,21.12,0.7112875,8,0.0,0.0,3.2104999999999997,0.0,2
4.0,4.0,28.260175,0.29669999999999996,8.3812875,41.0419,21.12,0.9452,8,0.0,0.0,3.0605,0.0,2
5.0,5.0,28.2546875,0.3363,9.36625,47.5008,21.12,0.81655,8,3.2,3.4,3.0645,1.03,2
6.0,6.0,28.249557142857146,0.4008,11.300557142857143,54.121,21.12,0.7920571428571428,7,6.4,6.805,3.0535,2.045,2
7.0,7.0,28.241485714285716,0.45257142857142857,12.914742857142857,63.8054,21.157142857142855,0.7833142857142857,7,11.19,11.905000000000001,3.1005000000000003,3.63,2
8.0,8.0,28.230487500000002,0.5613,15.72955,74.2733,21.2175,0.814425,8,12.79,13.61,3.0785,4.125,2
9.0,9.0,28.222675000000002,0.6285000000000001,17.5449625,84.0806,21.25,0.7965,8,17.59,18.71,3.0629999999999997,5.645,2
10.0,10.0,28.2120875,0.7002,19.7445375,94.7866,21.25,0.801525,8,19.19,20.41,3.0755,6.18,2
11.0,11.0,28.2031,0.7787999999999999,21.9250125,106.4371,21.25,0.802825,8,22.39,23.82,3.095,7.26,2
12.0,12.0,28.1969,0.8067,22.9149625,117.0278,21.265,0.7553,8,23.990000000000002,25.52,3.085,7.745,2
13.0,13.0,28.183975,0.9006,25.1757,129.024,21.355,0.793675,8,28.79,30.62,3.0945,9.329999999999998,2
14.0,14.0,28.1738375,0.9813,27.6334875,141.3965,21.37,0.7993,8,30.384999999999998,32.32,3.097,9.855,2
15.0,15.0,28.163857142857147,1.0837714285714284,30.56762857142857,145.2288,21.37,0.8105857142857144,7,35.18,37.43,3.104,11.440000000000001,2
20.0,20.0,28.123825,1.4691,41.174875,206.2694,21.37,0.8149375,8,49.575,52.739999999999995,3.092,16.055,2
25.0,25.0,28.0827875,1.8549,52.26965,260.7206,21.4675,0.8252125,8,63.97,68.05,3.0915,20.71,2
30.0,30.0,28.038287500000003,2.2926,64.0038,316.2163,21.5,0.841325,8,78.36,83.36,3.0915,25.365,2
35.0,35.0,27.9917875,2.7036,75.92082500000001,371.0285,21.560000000000002,0.8672,8,94.35,100.375,3.096,30.585,2
40.0,40.0,27.9511875,2.9847,83.4319125,424.2816,21.62,0.8635875000000001,8,105.54499999999999,112.28,3.0965,34.230000000000004,2
45.0,45.0,27.907025,3.4047,94.9977625,474.2707,21.62,0.891075,8,121.54,129.29500000000002,3.101,39.47,2
50.0,50.0,27.866025,3.7125,103.4337,523.3997,21.75,0.8809125,8,137.60500000000002,146.39,3.104,44.724999999999994,2
55.0,55.0,27.830875,3.969,109.479775,567.7901,21.75,0.861775,8,147.12,156.51,3.111,47.93,2
60.0,60.0,27.8039125,4.1397,114.6790875,609.0624,21.87,0.8567375,8,164.715,175.23000000000002,3.123,53.870000000000005,2
65.0,65.0,27.753125,4.491,124.6337875,647.255,21.87,0.888775,8,177.51,188.83999999999997,3.1345,58.265,2
70.0,70.0,27.720557142857142,4.673828571428571,130.5316,652.2931,21.907142857142855,0.8831142857142857,7,191.89999999999998,204.15,3.1455,63.21,2
75.0,75.0,27.7027375,4.8702000000000005,134.8814375,686.5766,22.0,0.8807,8,207.89,221.16,3.159,68.77000000000001,2
80.0,80.0,27.644525,5.3064,147.71575,718.9248,22.015,0.9211875,8,220.805,234.89499999999998,3.174,73.39,2
85.0,85.0,27.631262500000002,5.2752,146.967775,755.2051,22.09,0.88625,8,236.81,251.92000000000002,3.189,79.07499999999999,2
86.0,86.0,27.609,5.4606,152.4700625,729.5002,22.12,0.9095125,8,241.61,257.03,3.2075,81.155,2
87.0,87.0,27.5991875,5.4954,151.60765,738.1632,22.12,0.9022749999999999,8,243.075,258.59000000000003,3.2225,82.035,2
88.0,88.0,27.5796875,5.6667,155.375875,746.0813,22.1525,0.9135375,8,243.075,258.59000000000003,3.237,82.39,2
89.0,89.0,27.578525,5.4789,151.05835,753.9994,22.2175,0.8955,8,246.27,261.99,3.253,83.89500000000001,2
90.0,90.0,27.564075,5.4744,150.9038375,765.7805,22.25,0.8875375,8,251.07,267.095,3.265,85.84,2
91.0,91.0,27.568757142857145,5.281028571428571,144.91277142857143,736.2048,22.25,0.8658571428571429,7,251.07,267.1,3.279,86.215,2
92.0,92.0,27.5332125,5.7165,157.389825,747.2947,22.265,0.9273375,8,249.47,265.395,3.2885,85.91499999999999,2
93.0,93.0,27.51055,5.835,160.5409875,760.6886,22.37,0.9093249999999999,8,254.26999999999998,270.5,3.3035,87.96000000000001,2
94.0,94.0,27.51135,5.7702,159.4661375,771.7786,22.37,0.89855,8,263.865,280.71000000000004,3.3155,91.61,2
95.0,95.0,27.477725,6.0576,164.4992375,783.6826,22.37,0.9262375,8,263.86,280.70500000000004,3.3265000000000002,91.91,2
96.0,96.0,27.4812625,5.8548,160.874925,793.7203,22.37,0.9096124999999999,8,265.46,282.41,3.34,92.845,2
97.0,97.0,27.490637500000002,5.6292,155.513625,805.2096,22.4675,0.90095,8,270.26,287.51,3.3585000000000003,95.03999999999999,2
98.0,98.0,27.467575,5.9778,161.0499,818.9645,22.5,0.911125,8,272.005,289.365,3.3655,95.86500000000001,2
99.0,99.0,27.4293,6.0939,168.007025,835.945,22.5,0.939125,8,273.46000000000004,290.90999999999997,3.3795,96.775,2
99.8,99.8,27.39775714285714,6.454628571428572,172.941,809.3107,22.5,0.9556428571428572,7,279.855,297.72,3.3795,99.035,2
