Voltage,Current,Power,Energy,Temperature,MotorVoltage,MotorCurrent,MeasuredDutyCycle,TargetDutyCycle,WheelSpeed,Phase,Repeat,CurrentLimit_A,Timestamp_s,Dyno_Timestamp_ms,Dyno_Speed_kmh,Car_Speed_kmh,Dyno_Torque_Nm,Dyno_Power_W
28.447,0.072,2.025,817.39,17.62,0.084,3.6919,0.0,0.0,0.0,Accelerating,1.0,20.0,0.11592531204223633,,,,,
28.447,0.072,2.022,817.605,17.62,0.204,3.8759,0.0,0.0,0.0,Accelerating,1.0,20.0,0.16206121444702148,,,,,
28.447,0.072,2.022,817.812,17.62,0.324,3.8586,0.0,0.0,0.0,Accelerating,1.0,20.0,0.23894405364990234,,,,,
28.447,0.067,1.929,0.031,17.62,0.159,3.8759,0.0,0.0,0.0,Accelerating,1.0,20.0,0.27402520179748535,,,,,
28.447,0.091,2.568,0.253,17.62,0.683,5.6462,2.0,100.0,0.0,Accelerating,1.0,20.0,0.32320523262023926,,,,,
28.413,1.075,30.555,1.359,17.62,4.116,10.5952,12.0,100.0,0.0,Accelerating,1.0,20.0,0.35137152671813965,,,,,
28.356,2.222,63.012,7.373,17.62,4.446,18.0388,23.0,100.0,0.0,Accelerating,1.0,20.0,0.37134599685668945,,,,,
28.334,2.683,76.009,14.845,17.75,5.929,18.2629,34.0,100.0,0.0,Accelerating,1.0,20.0,0.4647216796875,,,,,
28.306,3.319,93.975,23.923,17.75,6.319,18.4181,44.0,100.0,0.0,Accelerating,1.0,20.0,0.5690052509307861,,,,,
28.281,3.617,102.286,34.621,17.75,7.938,18.5618,55.0,100.0,0.0,Accelerating,1.0,20.0,0.6729800701141357,,,,,
28.253,4.361,123.188,47.025,17.75,8.687,17.0042,66.0,100.0,0.0,Accelerating,1.0,20.0,0.783797025680542,,,,,
28.234,4.766,134.585,60.749,17.75,10.201,18.5906,76.0,100.0,0.0,Accelerating,1.0,20.0,0.8901848793029785,,,,,
28.209,5.47,154.272,76.401,17.87,11.82,18.74,87.0,100.0,0.0,Accelerating,1.0,20.0,0.9909231662750244,,,,,
28.144,6.086,171.275,93.059,17.75,12.495,16.8777,97.0,100.0,0.0,Accelerating,1.0,20.0,1.100355625152588,,,,,
28.15,6.742,189.765,111.913,17.87,10.966,17.6594,100.0,100.0,0.0,Accelerating,1.0,20.0,1.2086329460144043,,,,,
28.128,7.15,201.064,132.303,17.87,14.968,16.9927,100.0,100.0,0.0,Accelerating,1.0,20.0,1.3174312114715576,,,,,
28.109,7.536,211.831,153.915,18.0,14.353,18.8607,100.0,100.0,0.0,Accelerating,1.0,20.0,1.4222559928894043,,,,,
28.072,8.131,228.238,176.893,18.0,14.518,16.1017,100.0,100.0,0.0,Accelerating,1.0,20.0,1.5276055335998535,,,,,
28.059,8.398,235.684,202.022,18.0,12.914,17.372,100.0,100.0,0.0,Accelerating,1.0,20.0,1.6251182556152344,,,,,
28.038,8.702,245.1,228.035,18.12,15.492,16.3144,100.0,100.0,0.0,Accelerating,1.0,20.0,1.7384216785430908,,,,,
,,,,,,,,,,,,,1.7784368991851807,1782.0,1.8375639999999998,1.954516,4.724,10.26
28.016,9.382,259.936,255.498,18.25,19.27,16.3259,100.0,100.0,0.0,Accelerating,1.0,20.0,1.8599028587341309,,,,,
27.987,9.727,272.28,283.415,18.25,18.52,18.74,100.0,100.0,0.0,Accelerating,1.0,20.0,1.944892406463623,,,,,
27.975,10.018,280.253,312.33,18.37,18.16,18.2227,100.0,100.0,0.0,Accelerating,1.0,20.0,2.052654981613159,,,,,
27.953,10.392,290.554,343.434,18.37,20.229,17.4295,100.0,100.0,0.0,Accelerating,1.0,20.0,2.1579179763793945,,,,,
27.944,10.894,304.387,374.653,18.37,21.008,17.1881,100.0,100.0,0.0,Accelerating,1.0,20.0,2.2634599208831787,,,,,
27.919,10.834,317.469,407.462,18.5,20.289,15.2395,100.0,100.0,0.0,Accelerating,1.0,20.0,2.3683838844299316,,,,,
27.928,11.203,312.641,439.78,18.5,19.839,17.2628,100.0,100.0,8.831,Accelerating,1.0,20.0,2.4701552391052246,,,,,
27.919,11.102,309.967,472.044,18.62,20.094,16.5788,100.0,100.0,8.831,Accelerating,1.0,20.0,2.584843635559082,,,,,
27.909,11.299,315.325,505.789,18.62,21.368,16.7627,100.0,100.0,8.831,Accelerating,1.0,20.0,2.685976266860962,,,,,
,,,,,,,,,,,,,2.7110276222229004,2720.0,6.102767999999999,6.492608,4.916,35.46
27.894,11.599,315.298,539.965,18.75,17.921,15.5902,100.0,100.0,8.831,Accelerating,1.0,20.0,2.8100225925445557,,,,,
27.894,11.477,320.112,573.174,18.75,23.706,16.6363,100.0,100.0,8.831,Accelerating,1.0,20.0,2.9011950492858887,,,,,
27.891,11.748,327.631,605.898,18.75,15.013,4.5656,100.0,100.0,8.831,Accelerating,1.0,20.0,3.005502462387085,,,,,
28.084,11.412,320.513,638.815,18.75,21.548,16.1535,100.0,100.0,8.831,Accelerating,1.0,20.0,3.1081604957580566,,,,,
27.891,11.278,314.562,672.108,18.75,20.079,12.2908,100.0,100.0,8.831,Accelerating,1.0,20.0,3.210418224334717,,,,,
27.888,11.179,311.785,705.393,18.75,23.137,13.1645,100.0,100.0,8.831,Accelerating,1.0,20.0,3.3258614540100098,,,,,
27.888,11.299,312.433,739.1,18.75,21.518,15.1763,100.0,100.0,8.831,Accelerating,1.0,20.0,3.4288880825042725,,,,,
27.881,11.026,307.523,771.087,18.75,23.616,15.0613,100.0,100.0,8.831,Accelerating,1.0,20.0,3.5344996452331543,,,,,
27.888,10.644,296.843,802.445,18.75,23.841,16.0615,100.0,100.0,8.831,Accelerating,1.0,20.0,3.637427806854248,,,,,
,,,,,,,,,,,,,3.651376485824585,3658.0,10.484924,11.153853999999999,4.987,61.81
27.906,10.632,296.539,835.031,18.75,24.336,16.8777,100.0,100.0,8.831,Accelerating,1.0,20.0,3.7508256435394287,,,,,
27.891,11.167,311.287,866.696,18.75,25.94,17.0961,100.0,100.0,8.831,Accelerating,1.0,20.0,3.8436434268951416,,,,,
27.878,10.855,302.673,899.32,18.75,24.875,17.2571,100.0,100.0,8.831,Accelerating,1.0,20.0,3.9501609802246094,,,,,
27.841,12.043,335.323,931.876,18.75,24.815,15.958,100.0,100.0,8.831,Accelerating,1.0,20.0,4.058574676513672,,,,,
27.837,12.194,339.473,966.874,18.87,26.554,17.9353,100.0,100.0,8.831,Accelerating,1.0,20.0,4.163066864013672,,,,,
27.788,13.051,362.658,1000.52,18.87,26.824,16.8547,100.0,100.0,8.831,Accelerating,1.0,20.0,4.271557569503784,,,,,
27.788,11.858,329.78,1036.639,18.87,26.164,18.1307,100.0,100.0,8.831,Accelerating,1.0,20.0,4.373771905899048,,,,,
27.791,12.958,360.075,1073.311,18.87,27.004,18.1997,100.0,100.0,20.135,Accelerating,1.0,20.0,4.478888750076294,,,,,
27.772,13.337,370.346,1111.749,19.0,26.629,18.0158,100.0,100.0,20.135,Accelerating,1.0,20.0,4.58705997467041,,,,,
,,,,,,,,,,,,,4.587159872055054,4596.0,14.735066,15.675998,5.017,87.38
27.775,13.253,368.065,1151.324,19.12,27.873,18.9699,100.0,100.0,20.135,Accelerating,1.0,20.0,4.692420959472656,,,,,
27.684,15.07,404.408,1194.401,19.12,27.903,16.119,100.0,100.0,20.135,Accelerating,1.0,20.0,4.803956031799316,,,,,
27.725,13.524,375.225,1234.806,19.25,28.113,16.5673,100.0,100.0,20.135,Accelerating,1.0,20.0,4.903597831726074,,,,,
27.828,7.519,209.219,1269.65,19.12,27.948,14.4751,100.0,100.0,20.135,Accelerating,1.0,20.0,5.013273477554321,,,,,
