6917,0.065,0.016,28.562,0.580,6.55,
7336,0.067,0.012,28.566,0.620,6.55,
7546,0.080,0.022,28.562,0.587,5.83,
7756,0.069,0.020,28.561,0.586,5.83,
7966,0.074,0.012,28.562,0.594,5.83,
8176,0.071,0.016,28.557,0.597,5.83,
8386,0.072,0.016,28.562,0.605,5.83,
8621,0.067,0.011,28.552,0.565,5.83,
8831,0.072,0.016,28.564,0.583,5.83,
9041,0.078,0.011,28.557,0.576,6.25,
9252,0.082,0.009,28.559,0.632,6.25,
9462,0.082,0.009,28.564,0.591,6.25,
9712,0.074,0.016,28.557,0.605,6.25,
9922,0.080,0.012,28.562,0.567,6.25,
10132,0.071,0.016,28.561,0.611,6.25,
10344,0.072,0.024,28.556,0.610,6.25,
10554,0.072,0.018,28.567,0.570,6.25,
10804,0.072,0.014,28.562,0.614,6.25,
11014,0.071,0.009,28.557,0.658,6.25,
11224,0.071,0.016,28.561,0.570,4.14,
11434,0.067,0.020,28.566,0.541,4.14,
11645,0.080,0.012,28.559,0.587,4.14,
11896,0.076,0.009,28.556,0.583,4.14,
12106,0.067,0.011,28.554,0.534,4.14,
12316,0.072,0.003,28.567,0.548,4.14,
12526,0.067,0.011,28.559,0.589,4.14,
12741,0.072,0.012,28.559,0.591,4.14,
12987,0.067,0.009,28.554,0.597,5.18,
13197,0.078,0.018,28.564,0.614,5.18,
13412,0.067,0.024,28.564,0.560,5.18,
13623,0.078,0.022,28.559,0.594,5.18,
13834,0.072,0.016,28.569,0.573,5.18,
14079,0.082,0.016,28.569,0.627,5.18,
14289,0.072,0.018,28.566,0.607,5.18,
14499,0.074,0.014,28.561,0.648,5.18,
14710,0.072,0.009,28.564,0.584,5.18,
14920,0.078,0.020,28.559,0.598,5.18,
15171,0.061,0.012,28.554,0.597,4.12,
15381,0.067,0.012,28.566,0.577,4.12,
15591,0.067,0.005,28.561,0.603,4.12,
15801,0.069,0.014,28.557,0.597,4.12,
16011,0.069,0.018,28.562,0.600,4.12,
16264,0.063,0.014,28.561,0.610,4.12,
16474,0.076,0.012,28.557,0.587,4.12,
16685,0.069,0.014,28.557,0.598,4.12,
16895,0.069,0.016,28.562,0.583,5.05,
17105,0.069,0.005,28.561,0.582,5.05,
17356,0.065,0.011,28.556,0.596,5.05,
17566,0.071,0.014,28.550,0.603,5.05,
17776,0.074,0.009,28.554,0.594,5.05,
17986,0.065,0.016,28.559,0.613,7.59,
18196,0.072,0.014,28.561,0.584,7.59,
18447,0.071,0.016,28.564,0.610,7.59,
18657,0.074,0.018,28.557,0.597,7.59,
18871,0.063,0.012,28.557,0.597,7.59,
19082,0.072,0.014,28.567,0.596,8.75,
19295,0.065,0.016,28.564,0.563,8.75,
19540,0.071,0.014,28.559,0.617,8.75,
19750,0.080,0.012,28.556,0.580,8.75,
19960,0.065,0.011,28.557,0.584,8.75,
20171,0.067,0.012,28.557,0.607,8.75,
20381,0.071,0.016,28.559,0.549,6.65,
20632,0.074,0.016,28.567,0.580,6.65,
20842,0.076,0.011,28.552,0.589,6.65,
21052,0.063,0.012,28.559,0.631,6.65,
21262,0.063,0.012,28.567,0.660,9.70,
21472,0.072,0.003,28.559,0.618,9.70,
21723,0.061,0.011,28.559,0.594,9.70,
21933,0.074,0.016,28.557,0.613,9.70,
22143,0.078,0.009,28.557,0.582,9.70,
22358,0.071,0.014,28.557,0.560,9.64,
22568,0.058,0.012,28.550,0.590,9.64,
22813,0.071,0.016,28.552,0.601,9.64,
23023,0.071,0.012,28.561,0.591,9.64,
23234,0.071,0.016,28.547,0.598,9.83,
23444,0.069,0.016,28.557,0.596,9.83,
23654,0.076,0.022,28.561,0.587,9.83,
23904,0.076,0.020,28.559,0.611,9.83,
24114,0.067,0.012,28.562,0.546,9.83,
24324,0.071,0.009,28.556,0.591,7.40,
24535,0.067,0.022,28.559,0.608,7.40,
24749,0.074,0.011,28.552,0.601,7.40,
24995,0.078,0.012,28.557,0.587,7.40,
25205,0.063,0.012,28.561,0.628,7.40,
25417,0.076,0.016,28.561,0.611,8.51,
25628,0.072,0.007,28.554,0.593,8.51,
25838,0.067,0.009,28.569,0.573,8.51,
26088,0.074,0.001,28.556,0.594,8.51,
26298,0.069,0.016,28.552,0.555,8.51,
26508,0.067,0.018,28.556,0.593,8.51,
26719,0.074,0.011,28.561,0.608,6.74,
26930,0.067,0.018,28.547,0.604,6.74,
27180,0.069,0.012,28.554,0.631,6.74,
27390,0.065,0.016,28.554,0.660,6.74,
27600,0.071,0.014,28.559,0.589,11.48,
27811,0.074,0.024,28.549,0.587,11.48,
28022,0.071,0.022,28.556,0.605,11.48,
28272,0.072,0.016,28.559,0.617,11.48,
28484,0.074,0.016,28.556,0.624,11.48,
28694,0.072,0.012,28.550,0.600,8.40,
28904,0.071,0.011,28.550,0.587,8.40,
29114,0.069,0.020,28.559,0.575,8.40,
29364,0.067,0.016,28.562,0.651,8.40,
29575,0.067,0.022,28.552,0.597,8.40,
29785,0.065,0.011,28.550,0.594,8.40,
29995,0.072,0.009,28.557,0.610,7.18,
30205,0.072,0.018,28.550,0.590,7.18,
30455,0.069,0.007,28.554,0.593,7.18,
30665,0.061,0.009,28.556,0.590,7.18,
30889,0.078,0.016,28.559,0.604,10.20,
31100,0.072,0.014,28.562,0.611,10.20,
31312,0.072,0.014,28.552,0.601,10.20,
31552,0.067,0.005,28.557,0.590,10.20,
31762,0.078,0.018,28.556,0.607,8.41,
31972,0.071,0.011,28.554,0.590,8.41,
32183,0.074,0.007,28.556,0.603,8.41,
32393,0.069,0.011,28.552,0.604,15.13,
32644,0.076,0.011,28.547,0.614,15.13,
32854,0.071,0.012,28.554,0.601,15.13,
33064,0.071,0.016,28.556,0.573,15.13,
33274,0.071,0.016,28.554,0.644,12.40,
33484,0.072,0.011,28.556,0.607,12.40,
33734,0.069,0.024,28.556,0.593,15.25,
33944,0.080,0.016,28.554,0.600,15.25,
34154,0.067,0.012,28.554,0.618,15.25,
34366,0.074,0.014,28.554,0.514,15.25,
34576,0.071,0.011,28.554,0.604,10.40,
34826,0.069,0.018,28.552,0.593,10.40,
35036,0.072,0.011,28.550,0.591,10.40,
35247,0.059,0.014,28.561,0.635,10.40,
35458,0.067,0.020,28.550,0.555,10.10,
35668,0.071,0.016,28.559,0.605,10.10,
35919,0.072,0.012,28.564,0.597,10.10,
