Voltage,Current,Power,Energy,Temperature,MotorCurrent,MeasuredDutyCycle,TargetDutyCycle,Phase,Repeat,CurrentLimit_A,Timestamp_s,Dyno_Timestamp_ms,Dyno_Speed_kmh,Car_Speed_kmh,Dyno_Torque_Nm,Dyno_Power_W
26.663,0.0,0.02,1163.059,21.0,0.8969,0.0,0.0,Accelerating,1.0,14.0,0.12618064880371094,,,,,
26.663,-0.002,0.06,1163.067,21.0,0.8937,0.0,0.0,Accelerating,1.0,14.0,0.15835070610046387,,,,,
26.663,0.007,0.16,0.0,21.0,0.8953,0.0,0.0,Accelerating,1.0,14.0,0.19814658164978027,,,,,
26.663,0.022,0.56,0.015,21.0,0.963,1.0,100.0,Accelerating,1.0,14.0,0.23387956619262695,,,,,
26.659,0.149,3.971,0.284,21.0,0.9783,6.5,100.0,Accelerating,1.0,14.0,0.28254008293151855,,,,,
26.609,1.507,40.072,2.711,21.0,2.3314,11.5,100.0,Accelerating,1.0,14.0,0.3626089096069336,,,,,
26.584,2.189,58.187,8.218,21.0,2.5264,17.0,100.0,Accelerating,1.0,14.0,0.45967793464660645,,,,,
26.572,2.491,66.218,14.792,21.12,2.4667,22.0,100.0,Accelerating,1.0,14.0,0.5634877681732178,,,,,
26.556,2.899,77.015,22.164,21.0,2.4522,27.5,100.0,Accelerating,1.0,14.0,0.678577184677124,,,,,
26.547,3.067,81.415,30.497,21.12,2.4345,32.5,100.0,Accelerating,1.0,14.0,0.7801382541656494,,,,,
26.541,3.322,88.155,39.252,21.12,2.3523,38.0,100.0,Accelerating,1.0,14.0,0.8814277648925781,,,,,
26.525,3.533,93.689,48.76,21.12,2.3378,43.0,100.0,Accelerating,1.0,14.0,0.9830543994903564,,,,,
26.516,3.787,99.372,58.875,21.12,2.2878,48.5,100.0,Accelerating,1.0,14.0,1.0863854885101318,,,,,
26.506,4.032,106.851,69.32,21.12,2.3185,53.5,100.0,Accelerating,1.0,14.0,1.1985244750976562,,,,,
26.5,4.135,109.614,80.686,21.12,2.2838,58.5,100.0,Accelerating,1.0,14.0,1.2973175048828125,,,,,
26.487,4.543,120.315,92.805,21.12,2.287,64.0,100.0,Accelerating,1.0,14.0,1.3993546962738037,,,,,
26.478,4.634,122.729,105.539,21.12,2.3152,69.0,100.0,Accelerating,1.0,14.0,1.5108773708343506,,,,,
26.466,4.985,131.949,118.948,21.12,2.2782,74.5,100.0,Accelerating,1.0,14.0,1.608595848083496,,,,,
26.456,5.249,138.839,133.394,21.12,2.2524,79.5,100.0,Accelerating,1.0,14.0,1.7212631702423096,,,,,
26.447,5.39,142.536,148.086,21.25,2.3168,85.0,100.0,Accelerating,1.0,14.0,1.8238108158111572,,,,,
