Designator,Comment,Layer,Footprint,Center-X(mm),Center-Y(mm),Rotation,Description
C38,GCM32EC71H106KA03L,TopLayer,FP-GCM32E-0_3-IPC_C,"142,7344mm","25,8976mm",90,50V 10uF X7S ±10% 1210 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C52,C1206C104K1RACTU,TopLayer,CAPC3216X06N,"15,1870mm","24,7834mm",270,"Ceramic Capacitor, Multilayer, Ceramic, 200V, 10% +Tol, 10% -Tol, X7R, 15% TC, 0.01uF, 1206"
C56,C1206C104K1RACTU,TopLayer,CAPC3216X06N,"31,1552mm","36,9803mm",90,"Ceramic Capacitor, Multilayer, Ceramic, 200V, 10% +Tol, 10% -Tol, X7R, 15% TC, 0.01uF, 1206"
C53,C1206C104K1RACTU,TopLayer,CAPC3216X06N,"31,1552mm","24,2536mm",270,"Ceramic Capacitor, Multilayer, Ceramic, 200V, 10% +Tol, 10% -Tol, X7R, 15% TC, 0.01uF, 1206"
C58,CL31B105KBHNNNE,TopLayer,CAPC3216X180X20ML20,"31,6501mm","48,9708mm",180,"Ceramic Capacitor, Multilayer, Ceramic, 50V, 10% +Tol, 10% -Tol, X7R, +-15% TC, 1uF, Surface Mount, 1206 inch"
C54,CL31B102KGFNNNE,TopLayer,FP-CL31-IPC_A,"33,9883mm","24,7577mm",270,"Ceramic Capacitor, Multilayer, Ceramic, 500V, 10% +Tol, 10% -Tol, X7R, +-15% TC, 1nF, Surface Mount, 1206 inch"
C55,C1206C104K1RACTU,TopLayer,CAPC3216X06N,"15,2400mm","36,7792mm",90,"Ceramic Capacitor, Multilayer, Ceramic, 200V, 10% +Tol, 10% -Tol, X7R, 15% TC, 0.01uF, 1206"
C59,CL31B105KBHNNNE,TopLayer,CAPC3216X180X20ML20,"14,2928mm","47,3411mm",90,"Ceramic Capacitor, Multilayer, Ceramic, 50V, 10% +Tol, 10% -Tol, X7R, +-15% TC, 1uF, Surface Mount, 1206 inch"
C30,GCM32EC71H106KA03L,TopLayer,FP-GCM32E-0_3-IPC_C,"146,9881mm","25,8976mm",90,50V 10uF X7S ±10% 1210 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C43,GCM32EC71H106KA03L,TopLayer,FP-GCM32E-0_3-IPC_C,"129,9382mm","11,7808mm",270,50V 10uF X7S ±10% 1210 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
