Voltage,Current,Power,Energy,Temperature,MotorVoltage,MotorCurrent,MeasuredDutyCycle,TargetDutyCycle,WheelSpeed,Phase,Repeat,CurrentLimit_A,Timestamp_s,Dyno_Timestamp_ms,Dyno_Speed_kmh,Car_Speed_kmh,Dyno_Torque_Nm,Dyno_Power_W
26.869,0.082,2.168,4779.333,20.37,0.204,0.61,0.0,0.0,0.0,Accelerating,1.0,20.0,0.11531329154968262,,,,,
26.872,0.077,2.088,4779.525,20.37,0.309,0.5875,0.0,0.0,0.0,Accelerating,1.0,20.0,0.27353763580322266,,,,,
26.872,0.07,1.991,4779.74,20.37,0.204,0.5842,0.0,0.0,0.0,Accelerating,1.0,20.0,0.3211207389831543,,,,,
26.872,0.072,1.91,0.192,20.5,0.219,0.5842,0.0,0.0,0.0,Accelerating,1.0,20.0,0.3810863494873047,,,,,
26.856,0.482,12.94,0.891,20.37,3.217,0.797,10.0,100.0,0.0,Accelerating,1.0,20.0,0.47939181327819824,,,,,
26.775,2.755,73.732,4.493,20.37,4.401,2.5199,21.0,100.0,0.0,Accelerating,1.0,20.0,0.5091102123260498,,,,,
26.775,2.767,68.235,10.399,20.5,2.092,0.8486,32.0,100.0,0.0,Accelerating,1.0,20.0,0.5528745651245117,,,,,
26.772,2.633,70.465,17.28,20.5,6.439,2.6247,42.0,100.0,0.0,Accelerating,1.0,20.0,0.61846923828125,,,,,
26.763,3.461,92.553,25.513,20.5,4.82,1.2112,53.0,100.0,0.0,Accelerating,1.0,20.0,0.6981239318847656,,,,,
26.725,3.703,98.997,35.405,20.5,6.484,2.6658,63.0,100.0,0.0,Accelerating,1.0,20.0,0.798534631729126,,,,,
26.7,4.291,114.597,46.479,20.5,6.589,2.5651,74.0,100.0,0.0,Accelerating,1.0,20.0,0.8875534534454346,,,,,
26.669,4.841,129.106,59.512,20.5,8.028,2.6223,85.0,100.0,0.0,Accelerating,1.0,20.0,0.9682815074920654,,,,,
26.65,5.383,143.468,74.289,20.62,10.141,2.6215,95.0,100.0,0.0,Accelerating,1.0,20.0,1.0753757953643799,,,,,
26.597,6.869,182.831,91.592,20.62,13.544,2.7101,100.0,100.0,0.0,Accelerating,1.0,20.0,1.1800353527069092,,,,,
26.638,5.242,139.615,107.82,20.62,9.857,2.5014,100.0,100.0,0.0,Accelerating,1.0,20.0,1.2890598773956299,,,,,
