Voltage,Current,Power,Energy,Temperature,MotorVoltage,MotorCurrent,MeasuredDutyCycle,TargetDutyCycle,WheelSpeed,Phase,Repeat,CurrentLimit_A,Timestamp_s,Dyno_Timestamp_ms,Dyno_Speed_kmh,Car_Speed_kmh,Dyno_Torque_Nm,Dyno_Power_W
28.263,0.043,1.195,3840.791,18.62,0.054,3.7781,0.0,0.0,0.0,Accelerating,1.0,15.0,0.11601519584655762,,,,,
28.263,0.041,1.051,3840.914,18.62,0.174,3.7839,0.0,0.0,0.0,Accelerating,1.0,15.0,0.3023543357849121,,,,,
28.263,0.046,1.28,3841.021,18.62,-0.111,3.8471,0.0,0.0,0.0,Accelerating,1.0,15.0,0.3502678871154785,,,,,
28.263,0.038,1.072,0.084,18.62,0.084,3.7954,0.0,0.0,0.0,Accelerating,1.0,15.0,0.42559099197387695,,,,,
28.247,0.247,6.961,0.392,18.62,2.092,6.0831,7.0,100.0,0.0,Accelerating,1.0,15.0,0.495577335357666,,,,,
28.163,1.44,40.576,3.41,18.62,3.157,13.8888,17.0,100.0,0.0,Accelerating,1.0,15.0,0.53452467918396,,,,,
28.156,1.529,43.031,7.956,18.75,4.73,13.8428,28.0,100.0,0.0,Accelerating,1.0,15.0,0.6066162586212158,,,,,
28.141,1.747,49.196,12.749,18.75,5.045,13.8428,38.0,100.0,0.0,Accelerating,1.0,15.0,0.692293643951416,,,,,
28.131,1.87,52.572,18.079,18.75,6.619,13.8888,49.0,100.0,0.0,Accelerating,1.0,15.0,0.7823035717010498,,,,,
28.112,2.105,59.194,23.954,18.75,6.544,13.6818,59.0,100.0,0.0,Accelerating,1.0,15.0,0.8244266510009766,,,,,
28.094,2.383,66.975,30.328,18.75,6.214,14.2279,70.0,100.0,0.0,Accelerating,1.0,15.0,0.8905677795410156,,,,,
28.081,2.484,69.774,37.532,18.75,9.047,14.3601,81.0,100.0,0.0,Accelerating,1.0,15.0,1.013314962387085,,,,,
28.066,2.743,76.962,45.189,18.75,5.959,14.6935,91.0,100.0,0.353,Accelerating,1.0,15.0,1.0967137813568115,,,,,
28.05,2.947,81.339,53.668,18.75,9.917,14.5153,100.0,100.0,0.353,Accelerating,1.0,15.0,1.231370210647583,,,,,
28.031,3.046,85.389,62.6,18.75,10.756,14.1072,100.0,100.0,0.353,Accelerating,1.0,15.0,1.2926197052001953,,,,,
28.013,3.521,98.601,72.108,18.75,8.313,14.8717,100.0,100.0,0.353,Accelerating,1.0,15.0,1.402925729751587,,,,,
27.991,3.658,102.418,82.591,18.75,11.955,14.9809,100.0,100.0,0.353,Accelerating,1.0,15.0,1.5338072776794434,,,,,
27.991,3.778,105.752,93.327,18.75,7.623,14.5383,100.0,100.0,0.353,Accelerating,1.0,15.0,1.599782943725586,,,,,
27.972,3.905,108.924,104.955,18.75,9.947,14.6705,100.0,100.0,0.353,Accelerating,1.0,15.0,1.7512688636779785,,,,,
27.95,4.15,115.966,117.274,18.75,8.927,14.0382,100.0,100.0,0.353,Accelerating,1.0,15.0,1.8297300338745117,,,,,
,,,,,,,,,,,,,1.831362247467041,1783.0,1.04991,1.117246,4.264,5.29
27.947,4.246,118.663,129.661,18.75,9.647,13.4749,100.0,100.0,0.353,Accelerating,1.0,15.0,1.9675989151000977,,,,,
27.931,4.452,124.627,142.956,18.75,9.002,14.5555,100.0,100.0,0.353,Accelerating,1.0,15.0,2.009599447250366,,,,,
27.9,4.805,134.04,156.503,18.87,10.591,13.9175,100.0,100.0,0.353,Accelerating,1.0,15.0,2.1052327156066895,,,,,
27.891,4.946,137.97,171.295,18.87,13.993,13.0208,100.0,100.0,0.353,Accelerating,1.0,15.0,2.2324485778808594,,,,,
27.869,5.333,148.589,186.286,18.87,14.788,13.13,100.0,100.0,0.353,Accelerating,1.0,15.0,2.3563783168792725,,,,,
27.85,5.405,150.546,202.391,18.87,14.668,14.544,100.0,100.0,0.353,Accelerating,1.0,15.0,2.450568199157715,,,,,
27.844,5.645,156.979,219.08,18.87,14.593,14.7854,100.0,100.0,0.353,Accelerating,1.0,15.0,2.577866792678833,,,,,
27.825,5.808,161.597,235.784,18.87,12.719,14.1647,100.0,100.0,0.353,Accelerating,1.0,15.0,2.6802597045898438,,,,,
,,,,,,,,,,,,,2.721379518508911,2720.0,3.05227,3.24719,4.513,16.28
27.806,5.993,166.646,253.501,18.87,13.814,12.7162,100.0,100.0,0.353,Accelerating,1.0,15.0,2.783289670944214,,,,,
27.809,6.137,170.615,271.119,18.87,13.409,12.7967,100.0,100.0,0.353,Accelerating,1.0,15.0,2.9005014896392822,,,,,
27.788,6.245,173.52,289.083,18.87,12.345,13.5209,100.0,100.0,0.353,Accelerating,1.0,15.0,2.98319411277771,,,,,
27.784,6.338,176.069,308.114,19.0,17.531,13.176,100.0,100.0,6.712,Accelerating,1.0,15.0,3.102024555206299,,,,,
