3785,0.116,0.052,28.072,0.531,0.00,
4197,0.110,0.061,28.049,0.539,0.00,
4395,0.121,0.044,28.067,0.541,0.00,
4548,0.116,0.050,28.077,0.544,0.00,
4701,0.116,0.029,28.059,0.521,0.00,
4854,0.101,0.042,28.082,0.548,0.00,
5007,0.142,0.059,28.057,0.504,0.00,
5160,0.127,0.033,28.071,0.548,0.00,
5313,0.104,0.063,28.079,0.551,0.00,
5481,0.114,0.035,28.081,0.562,0.00,
5634,0.125,0.059,28.057,0.552,0.00,
5787,0.084,0.082,28.067,0.549,0.00,
5940,0.118,0.050,28.059,0.546,0.00,
6093,0.136,0.046,28.067,0.563,0.00,
6246,0.106,0.067,28.061,0.552,0.00,
6401,0.110,0.074,28.071,0.538,0.00,
6574,0.123,0.037,28.084,0.551,0.00,
6727,0.119,0.059,28.061,0.528,0.00,
6880,0.110,0.024,28.088,0.542,0.00,
7033,0.125,0.024,28.086,0.541,0.00,
7187,0.136,0.056,28.071,0.541,0.00,
7341,0.118,0.063,28.079,0.539,0.00,
7494,0.108,0.044,28.082,0.536,0.00,
7662,0.131,0.071,28.069,0.521,0.00,
7815,0.123,0.074,28.079,0.549,0.00,
7969,0.114,0.056,28.079,0.542,0.00,
8123,0.118,0.074,28.089,0.534,0.00,
8282,0.091,0.042,28.064,0.560,0.00,
8436,0.101,0.024,28.079,0.551,0.00,
8592,0.112,0.031,28.071,0.544,0.00,
8750,0.123,0.074,28.077,0.527,0.00,
8903,0.099,0.061,28.072,0.559,0.00,
9056,0.112,0.069,28.072,0.522,0.00,
9210,0.123,0.074,28.074,0.560,0.00,
9364,0.114,0.042,28.079,0.545,0.00,
9517,0.116,0.048,28.077,0.545,0.00,
9671,0.118,0.052,28.089,0.544,0.00,
9840,0.119,0.052,28.074,0.542,0.00,
9993,0.119,0.054,28.076,0.541,0.00,
10146,0.110,0.054,28.082,0.542,0.00,
10300,0.101,0.052,28.084,0.493,0.00,
10454,0.099,0.048,28.089,0.541,0.00,
10607,0.110,0.052,28.076,0.542,0.00,
10762,0.121,0.042,28.074,0.541,0.00,
10930,0.112,0.050,28.079,0.538,0.00,
11083,0.118,0.046,28.089,0.551,0.00,
11236,0.131,0.054,28.072,0.551,0.00,
11389,0.123,0.052,28.082,0.538,0.00,
11543,0.114,0.054,28.084,0.549,0.00,
11696,0.123,0.048,28.079,0.545,0.00,
11850,0.125,0.058,28.074,0.532,0.00,
12018,0.114,0.058,28.082,0.544,0.00,
12172,0.127,0.046,28.084,0.536,0.00,
12325,0.112,0.046,28.081,0.531,0.00,
12481,0.101,0.054,28.091,0.542,0.00,
12636,0.114,0.059,28.098,0.542,0.00,
12790,0.108,0.059,28.082,0.544,0.00,
12947,0.123,0.046,28.076,0.545,0.00,
13110,0.119,0.048,28.086,0.538,0.00,
13264,0.106,0.056,28.084,0.542,0.00,
13417,0.103,0.052,28.099,0.541,0.00,
13570,0.119,0.058,28.086,0.539,0.00,
13724,0.112,0.046,28.091,0.545,0.00,
13878,0.108,0.052,28.084,0.541,0.00,
14032,0.112,0.048,28.076,0.542,0.00,
14200,0.108,0.058,28.081,0.541,0.00,
14353,0.112,0.046,28.084,0.542,0.00,
14506,0.119,0.052,28.069,0.545,0.00,
14660,0.118,0.056,28.101,0.539,0.00,
14813,0.104,0.050,28.094,0.541,0.00,
14966,0.121,0.058,28.099,0.542,0.00,
15124,0.112,0.052,28.099,0.535,0.00,
15287,0.108,0.052,28.076,0.538,0.00,
15440,0.104,0.048,28.088,0.538,0.00,
15593,0.114,0.044,28.096,0.541,0.00,
15747,0.108,0.054,28.082,0.539,0.00,
15900,0.108,0.052,28.064,0.544,0.00,
16053,0.119,0.052,28.093,0.536,0.00,
16206,0.104,0.050,28.081,0.538,0.00,
16379,0.108,0.054,28.094,0.544,0.00,
16532,0.114,0.054,28.093,0.539,0.00,
16686,0.108,0.054,28.098,0.536,0.00,
16844,0.110,0.054,28.086,0.541,0.00,
16998,0.103,0.050,28.074,0.541,0.00,
17152,0.116,0.056,28.096,0.541,0.00,
17308,0.101,0.046,28.091,0.541,0.00,
17466,0.110,0.059,28.086,0.546,0.00,
17620,0.106,0.050,28.106,0.538,0.00,
17774,0.112,0.046,28.101,0.535,0.00,
17927,0.114,0.050,28.067,0.542,0.00,
18081,0.108,0.046,28.096,0.539,0.00,
18234,0.108,0.054,28.091,0.539,0.00,
18387,0.114,0.054,28.084,0.532,0.00,
18556,0.112,0.056,28.111,0.542,0.00,
18709,0.123,0.050,28.086,0.541,0.00,
18863,0.114,0.048,28.084,0.538,0.00,
19016,0.121,0.046,28.098,0.544,0.00,
19170,0.112,0.052,28.094,0.541,0.00,
19326,0.119,0.044,28.089,0.535,0.00,
19479,0.112,0.041,28.099,0.549,0.00,
19647,0.125,0.056,28.093,0.544,0.00,
19800,0.104,0.048,28.094,0.541,0.00,
19954,0.114,0.056,28.089,0.542,0.00,
20107,0.114,0.054,28.086,0.541,0.00,
20261,0.106,0.056,28.091,0.538,0.00,
20414,0.118,0.050,28.089,0.548,0.00,
20568,0.108,0.050,28.081,0.536,0.00,
20736,0.101,0.050,28.086,0.542,0.00,
20889,0.114,0.052,28.089,0.538,0.00,
21045,0.123,0.044,28.091,0.542,0.00,
21199,0.116,0.054,28.101,0.532,0.00,
21353,0.112,0.048,28.094,0.542,0.00,
21508,0.106,0.054,28.089,0.534,0.00,
21661,0.121,0.058,28.081,0.532,0.00,
21824,0.110,0.048,28.091,0.536,0.00,
21977,0.112,0.052,28.086,0.546,0.00,
22130,0.114,0.054,28.086,0.539,0.00,
22283,0.108,0.046,28.099,0.546,0.00,
22437,0.114,0.050,28.093,0.541,0.00,
22590,0.104,0.048,28.093,0.534,0.00,
22743,0.106,0.054,28.093,0.534,0.00,
22916,0.140,0.359,28.093,0.534,0.00,
23069,0.193,1.801,28.093,0.842,0.00,
23222,0.346,4.451,28.082,1.279,0.00,
23375,0.599,6.933,28.052,1.687,0.00,
23529,0.836,8.563,28.039,2.114,0.00,
23686,1.115,9.836,28.039,2.532,0.00,
23840,1.359,10.239,28.017,2.971,0.00,
24003,1.608,12.224,27.978,3.387,0.00,
24157,1.837,10.141,27.984,3.824,0.00,
24311,2.009,11.401,27.942,4.244,0.00,
24464,2.257,10.918,27.946,4.674,0.00,
24617,2.493,9.391,27.949,4.693,0.00,
24771,0.112,-0.616,28.086,0.720,0.00,
24924,0.114,0.048,28.096,0.544,0.00,
25092,0.103,0.050,28.089,0.542,0.00,
25245,0.114,0.050,28.088,0.541,0.00,
25402,0.112,0.052,28.094,0.542,0.00,
25556,0.108,0.050,28.091,0.544,0.00,
25710,0.104,0.050,28.106,0.536,0.00,
25867,0.108,0.050,28.096,0.541,0.00,
26021,0.114,0.048,28.072,0.541,0.00,
26184,0.114,0.050,28.094,0.542,0.00,
26337,0.112,0.041,28.079,0.541,0.00,
26490,0.114,0.044,28.069,0.534,0.00,
26644,0.110,0.056,28.098,0.542,0.00,
26798,0.106,0.052,28.099,0.542,0.00,
26951,0.099,0.048,28.088,0.549,0.00,
27104,0.108,0.048,28.091,0.544,0.00,
27273,0.108,0.048,28.089,0.544,0.00,
27426,0.104,0.050,28.094,0.538,0.00,
27580,0.110,0.042,28.079,0.545,0.00,
27734,0.116,0.039,28.089,0.539,0.00,
27888,0.112,0.046,28.098,0.544,0.00,
28043,0.106,0.046,28.089,0.536,0.00,
28196,0.110,0.046,28.101,0.538,0.00,
28360,0.110,0.046,28.113,0.545,0.00,
28514,0.112,0.050,28.071,0.532,0.00,
28667,0.116,0.048,28.088,0.541,0.00,
28820,0.112,0.050,28.096,0.536,0.00,
28973,0.104,0.048,28.104,0.542,0.00,
29126,0.110,0.044,28.110,0.545,0.00,
29279,0.110,0.058,28.099,0.541,0.00,
29452,0.103,0.052,28.086,0.541,0.00,
29606,0.103,0.054,28.094,0.536,0.00,
29764,0.114,0.050,28.099,0.532,0.00,
29918,0.108,0.042,28.103,0.542,0.00,
30074,0.110,0.052,28.113,0.548,0.00,
30227,0.103,0.044,28.077,0.548,0.00,
30380,0.110,0.046,28.089,0.536,0.00,
30543,0.106,0.056,28.096,0.544,0.00,
30696,0.108,0.052,28.094,0.542,0.00,
30850,-0.008,0.044,25.714,0.534,0.00,
31003,-0.006,0.046,21.308,0.548,0.00,
31157,0.020,0.050,16.319,0.548,0.00,
31310,0.016,0.048,12.599,0.548,0.00,
