3290,0.674,2.712,28.365,3.418,0.00,
3682,0.551,1.381,28.380,3.415,0.00,
3807,0.517,1.288,28.368,3.412,0.00,
3932,0.464,0.946,28.380,3.429,0.00,
4057,0.483,1.274,28.376,3.422,0.00,
4182,0.485,1.201,28.376,3.416,0.00,
4307,0.432,0.776,28.378,3.425,0.00,
4442,0.507,1.441,28.353,3.420,0.00,
4567,0.551,1.612,28.378,3.410,0.00,
4692,0.489,1.141,28.365,3.420,0.00,
4817,0.554,1.633,28.380,3.412,0.00,
4987,0.733,3.609,28.366,3.398,0.00,
5112,0.620,3.108,28.366,3.398,0.00,
5237,0.674,2.741,28.366,3.403,0.00,
5362,0.637,3.011,28.375,3.403,0.00,
5526,0.686,3.892,28.354,3.403,0.00,
5651,0.571,1.919,28.365,3.405,0.00,
5776,0.678,2.874,28.365,3.410,0.00,
5901,0.472,1.321,28.378,3.416,0.00,
6071,0.442,0.911,28.392,3.429,0.00,
6196,0.478,1.145,28.375,3.416,0.00,
6321,0.504,1.128,28.371,3.423,0.00,
6446,0.487,0.875,28.373,3.425,0.00,
6616,0.511,1.419,28.382,3.409,0.00,
6741,0.541,1.678,28.366,3.409,0.00,
6866,0.607,1.912,28.373,3.412,0.00,
6996,0.601,2.457,28.373,3.406,0.00,
7156,0.701,3.208,28.356,3.388,0.00,
7281,0.704,3.228,28.368,3.394,0.00,
7409,0.813,3.254,28.341,3.406,0.00,
7534,0.892,3.963,28.344,3.385,0.00,
7699,0.811,3.718,28.353,3.381,0.00,
7824,0.667,2.999,28.365,3.398,0.00,
7949,0.974,5.296,28.356,3.394,0.00,
8074,0.836,5.362,28.349,3.387,0.00,
8244,0.697,5.120,28.348,3.389,0.00,
8369,0.823,4.687,28.361,3.377,0.00,
8494,0.597,2.420,28.376,3.408,0.00,
8619,0.624,2.009,28.361,3.402,0.00,
8784,0.566,1.961,28.344,3.402,0.00,
8909,0.545,1.623,28.383,3.395,0.00,
9034,0.554,2.229,28.354,3.401,0.00,
9159,0.665,2.154,28.376,3.413,0.00,
9331,0.616,3.119,28.365,3.418,0.00,
9456,0.041,1.835,15.399,1.933,0.00,
9581,0.039,0.095,11.131,0.541,0.00,
